station_id,standard_name,sensor_number,sensor_height
151,SHF_2_Avg,1,-0.08
152,SWin_1_Avg,0,1.4
152,SWout_1_Avg,0,1.4
152,LWin_1_Avg,0,1.4
152,LWout_1_Avg,0,1.4
152,SWnet_1_Avg,0,1.4
152,LWnet_1_Avg,0,1.4
152,Rin_1_Avg,0,1.4
152,Rout_1_Avg,0,1.4
152,Rnet_1_Avg,0,1.4
152,Albedo_1_Avg,0,1.4
152,Tsrf_1_Avg,0,1.4
152,Tsky_1_Avg,0,1.4
152,Tair_1_Avg,0,1.73
152,RH_1_Avg,0,1.73
152,VP_1_Avg,0,1.73
152,VPsat_1_Avg,0,1.73
152,VPD_1_Avg,0,1.73
152,Tair_2_Avg,1,1.75
152,RH_2_Avg,1,1.75
152,VP_2_Avg,1,1.75
152,VPsat_2_Avg,1,1.75
152,VPD_2_Avg,1,1.75
152,WS_1_Avg,0,1.54
152,WSrs_1_Avg,0,1.54
152,WDuv_1_Avg,0,1.54
152,WDrs_1_Avg,0,1.54
152,WD_1_StdY,0,1.54
152,WD_1_StdCS,0,1.54
152,P_1_Avg,0,
152,Psl_1_Avg,0,
152,SM_1_Avg,0,-0.15
152,SM_2_Avg,1,-0.45
152,Tsoil_1_Avg,0,-0.04
152,SHF_1_Avg,0,-0.08
152,RF_1_Tot300s,0,0.61
152,RFint_1_Max,0,0.61
152,SHF_2_Avg,1,-0.08
153,SWin_1_Avg,0,1.4
153,SWout_1_Avg,0,1.4
153,LWin_1_Avg,0,1.4
153,LWout_1_Avg,0,1.4
153,SWnet_1_Avg,0,1.4
153,LWnet_1_Avg,0,1.4
153,Rin_1_Avg,0,1.4
153,Rout_1_Avg,0,1.4
153,Rnet_1_Avg,0,1.4
153,Albedo_1_Avg,0,1.4
153,Tsrf_1_Avg,0,1.4
153,Tsky_1_Avg,0,1.4
153,Tair_1_Avg,0,1.7
153,RH_1_Avg,0,1.7
153,VP_1_Avg,0,1.7
153,VPsat_1_Avg,0,1.7
153,VPD_1_Avg,0,1.7
153,Tair_2_Avg,1,1.7
153,RH_2_Avg,1,1.7
153,VP_2_Avg,1,1.7
153,VPsat_2_Avg,1,1.7
153,VPD_2_Avg,1,1.7
153,WS_1_Avg,0,1.8
153,WSrs_1_Avg,0,1.8
153,WDuv_1_Avg,0,1.8
153,WDrs_1_Avg,0,1.8
153,WD_1_StdY,0,1.8
153,WD_1_StdCS,0,1.8
153,P_1_Avg,0,
153,Psl_1_Avg,0,
153,SM_1_Avg,0,-0.15
153,SM_2_Avg,1,-0.45
153,Tsoil_1_Avg,0,-0.04
153,SHF_1_Avg,0,-0.08
153,RF_1_Tot300s,0,0.5
153,RFint_1_Max,0,0.5
153,SHF_2_Avg,1,-0.08
154,SWin_1_Avg,0,2.9
154,SWout_1_Avg,0,2.9
154,LWin_1_Avg,0,2.9
154,LWout_1_Avg,0,2.9
154,SWnet_1_Avg,0,2.9
154,LWnet_1_Avg,0,2.9
154,Rin_1_Avg,0,2.9
154,Rout_1_Avg,0,2.9
154,Rnet_1_Avg,0,2.9
154,Albedo_1_Avg,0,2.9
154,Tsrf_1_Avg,0,2.9
154,Tsky_1_Avg,0,2.9
154,Tair_1_Avg,0,2
154,RH_1_Avg,0,2
154,VP_1_Avg,0,2
154,VPsat_1_Avg,0,2
154,VPD_1_Avg,0,2
154,Tair_2_Avg,1,2
154,RH_2_Avg,1,2
154,VP_2_Avg,1,2
154,VPsat_2_Avg,1,2
154,VPD_2_Avg,1,2
154,WS_1_Avg,0,3.04
154,WSrs_1_Avg,0,3.04
154,WDuv_1_Avg,0,3.04
154,WDrs_1_Avg,0,3.04
154,WD_1_StdY,0,3.04
154,WD_1_StdCS,0,3.04
154,P_1_Avg,0,1.2
154,Psl_1_Avg,0,1.2
154,SM_1_Avg,0,-0.08
154,SM_2_Avg,1,-0.31
154,SM_3_Avg,2,-0.51
154,Tsoil_1_Avg,0,-0.08
154,Tsoil_2_Avg,1,-0.08
154,Tsoil_3_Avg,2,-0.16
154,Tsoil_4_Avg,3,-0.4
154,SHF_1_Avg,0,-0.16
154,RF_1_Tot300s,0,0.9
154,RFint_1_Max,0,0.9
155,SWin_1_Avg,0,2.7
155,SWout_1_Avg,0,2.7
155,LWin_1_Avg,0,2.7
155,LWout_1_Avg,0,2.7
155,SWnet_1_Avg,0,2.7
155,LWnet_1_Avg,0,2.7
155,Rin_1_Avg,0,2.7
155,Rout_1_Avg,0,2.7
155,Rnet_1_Avg,0,2.7
155,Albedo_1_Avg,0,2.7
155,Tsrf_1_Avg,0,2.7
155,Tsky_1_Avg,0,2.7
155,Tair_1_Avg,0,2
155,RH_1_Avg,0,2
155,VP_1_Avg,0,2
155,VPsat_1_Avg,0,2
155,VPD_1_Avg,0,2
155,Tair_2_Avg,1,2
155,RH_2_Avg,1,2
155,VP_2_Avg,1,2
155,VPsat_2_Avg,1,2
155,VPD_2_Avg,1,2
155,WS_1_Avg,0,3.5
155,WSrs_1_Avg,0,3.5
155,WDuv_1_Avg,0,3.5
155,WDrs_1_Avg,0,3.5
155,WD_1_StdY,0,3.5
155,WD_1_StdCS,0,3.5
155,P_1_Avg,0,1.4
155,Psl_1_Avg,0,1.4
155,SM_1_Avg,0,-0.08
155,SM_2_Avg,1,-0.31
155,SM_3_Avg,2,-0.61
155,Tsoil_1_Avg,0,-0.08
155,Tsoil_2_Avg,1,-0.08
155,Tsoil_3_Avg,2,-0.16
155,Tsoil_4_Avg,3,-0.46
155,SHF_1_Avg,0,-0.16
155,RF_1_Tot300s,0,1.22
155,RFint_1_Max,0,1.22
156,Tair_1_Avg,0,1.1
156,RH_1_Avg,0,1.1
156,VP_1_Avg,0,1.1
156,VPsat_1_Avg,0,1.1
156,VPD_1_Avg,0,1.1
156,WS_1_Avg,0,2.01
156,WSrs_1_Avg,0,2.01
156,WDuv_1_Avg,0,2.01
156,WDrs_1_Avg,0,2.01
156,WD_1_StdY,0,2.01
156,WD_1_StdCS,0,2.01
156,SM_1_Avg,0,-0.08
156,SM_2_Avg,1,-0.08
156,Tsoil_1_Avg,0,-0.08
156,Tsoil_2_Avg,1,-0.08
156,RF_1_Tot300s,0,1.51
156,RFint_1_Max,0,1.51
156,SWin_1_Avg,0,1.4
160,RF_1_Tot300s,0,1.85
160,RFint_1_Max,0,1.85
161,SWin_1_Avg,0,2.42
161,SWout_1_Avg,0,2.42
161,LWin_1_Avg,0,2.42
161,LWout_1_Avg,0,2.42
161,SWnet_1_Avg,0,2.42
161,LWnet_1_Avg,0,2.42
161,Rin_1_Avg,0,2.42
161,Rout_1_Avg,0,2.42
161,Rnet_1_Avg,0,2.42
161,Albedo_1_Avg,0,2.42
161,Tsrf_1_Avg,0,2.42
161,Tsky_1_Avg,0,2.42
161,Tair_1_Avg,0,2
161,RH_1_Avg,0,2
161,VP_1_Avg,0,2
161,VPsat_1_Avg,0,2
161,VPD_1_Avg,0,2
161,Tair_2_Avg,1,2
161,RH_2_Avg,1,2
161,VP_2_Avg,1,2
161,VPsat_2_Avg,1,2
161,VPD_2_Avg,1,2
161,WS_1_Avg,0,2.78
161,WSrs_1_Avg,0,2.78
161,WDuv_1_Avg,0,2.78
161,WDrs_1_Avg,0,2.78
161,WD_1_StdY,0,2.78
161,WD_1_StdCS,0,2.78
161,P_1_Avg,0,1.21
161,Psl_1_Avg,0,1.21
161,SM_1_Avg,0,-0.08
161,SM_2_Avg,1,-0.31
161,SM_3_Avg,2,-0.61
161,Tsoil_1_Avg,0,-0.08
161,Tsoil_2_Avg,1,-0.08
161,Tsoil_3_Avg,2,-0.16
161,Tsoil_4_Avg,3,-0.46
161,SHF_1_Avg,0,-0.16
161,RF_1_Tot300s,0,1.17
161,RFint_1_Max,0,1.17
165,Tair_1_Avg,0,2
165,RH_1_Avg,0,2
165,VP_1_Avg,0,2
165,VPsat_1_Avg,0,2
